State,Substate Region,Small Area Estimate,95% CI (Lower),95% CI (Upper),Map Group
Colorado,Region 3,2.16%,1.57%,2.95%,4
Colorado,Region 4,1.94%,1.38%,2.72%,4
Colorado,Regions 5 and 6,1.83%,1.29%,2.60%,4
Connecticut,Connecticut,2.05%,1.67%,2.52%,3
Connecticut,Eastern,2.20%,1.61%,3.01%,4
Connecticut,North Central,2.35%,1.74%,3.15%,4
Connecticut,Northwestern,1.76%,1.27%,2.41%,4
Connecticut,South Central,1.98%,1.46%,2.68%,4
Connecticut,Southwest,1.89%,1.37%,2.59%,4
Delaware,Delaware,2.54%,2.08%,3.10%,3
Delaware,Kent,2.36%,1.73%,3.22%,4
Delaware,New Castle (excluding Wilmington City),2.84%,2.21%,3.63%,4
Delaware,Sussex,1.96%,1.41%,2.72%,4
Delaware,Wilmington City,2.69%,1.87%,3.84%,4
District of Columbia,District of Columbia,2.76%,2.23%,3.42%,3
District of Columbia,Ward 1,2.83%,1.99%,4.03%,4
District of Columbia,Ward 2,2.73%,1.90%,3.90%,4
District of Columbia,Ward 3,2.40%,1.72%,3.33%,4
District of Columbia,Ward 4,2.43%,1.70%,3.48%,4
District of Columbia,Ward 5,2.66%,1.90%,3.72%,4
District of Columbia,Ward 6,2.49%,1.70%,3.63%,4
District of Columbia,Ward 7,3.01%,2.10%,4.31%,4
District of Columbia,Ward 8,3.64%,2.65%,4.99%,4
Florida,Florida,1.82%,1.59%,2.08%,3
Florida,Broward (Circuit 17),1.75%,1.34%,2.30%,4
Florida,Central I,1.93%,1.56%,2.37%,5
Florida,Circuit 9,2.02%,1.55%,2.64%,4
Florida,Circuit 18,1.78%,1.35%,2.36%,4
Florida,Central II,1.79%,1.50%,2.13%,5
Florida,Circuit 6,1.92%,1.44%,2.55%,4
Florida,Circuit 10,1.79%,1.31%,2.43%,4
Florida,Circuit 12,1.55%,1.14%,2.09%,4
Florida,Circuit 13 (Hillsborough),1.86%,1.42%,2.44%,4
Florida,Circuit 20,1.73%,1.28%,2.32%,4
Florida,Northeast,1.91%,1.60%,2.27%,5
Florida,Circuit 4,1.97%,1.48%,2.63%,4
Florida,Circuit 5,1.55%,1.15%,2.09%,4
Florida,Circuit 7,1.95%,1.46%,2.60%,4
Florida,"Circuit 8 plus Columbia, Dixie, Hamilton, Lafayette, and Suwannee",2.43%,1.82%,3.25%,4
Florida,Northwest,2.23%,1.81%,2.75%,5
Florida,Circuit 1,2.21%,1.64%,2.97%,4
Florida,Circuit 2 plus Madison and Taylor,2.44%,1.82%,3.26%,4
Florida,Circuit 14,1.97%,1.42%,2.72%,4
Florida,South (Circuits 11 and 16),1.43%,1.09%,1.89%,4
Florida,Southeast,1.89%,1.48%,2.42%,5
Florida,Circuit 15 (Palm Beach),2.02%,1.50%,2.70%,4
Florida,Circuit 19,1.62%,1.19%,2.19%,4
Georgia,Georgia,1.96%,1.58%,2.43%,3
Georgia,Region 1,1.67%,1.24%,2.24%,4
Georgia,Region 2,2.08%,1.48%,2.91%,4
Georgia,Region 3,2.02%,1.49%,2.75%,4
Georgia,Region 4,2.12%,1.49%,2.99%,4
Georgia,Region 5,2.05%,1.47%,2.85%,4
Georgia,Region 6,2.13%,1.50%,3.01%,4
Hawaii,Hawaii,1.79%,1.39%,2.31%,3
Hawaii,Hawaii Island,1.65%,1.16%,2.35%,4
Hawaii,Honolulu,1.86%,1.39%,2.48%,4
Hawaii,Kauai,1.72%,1.17%,2.50%,4
Hawaii,Maui,1.59%,1.09%,2.31%,4
Idaho,Idaho,1.59%,1.28%,1.98%,3
Idaho,Region 1,1.49%,1.07%,2.07%,4
Idaho,Region 2,1.65%,1.16%,2.35%,4
Idaho,Region 3,1.47%,1.05%,2.05%,4
Idaho,Region 4,1.75%,1.27%,2.41%,4
Idaho,Region 5,1.45%,1.04%,2.02%,4
Idaho,Region 6,1.60%,1.13%,2.27%,4
Idaho,Region 7,1.58%,1.15%,2.18%,4
Illinois,Illinois,1.69%,1.46%,1.97%,3
Illinois,Region I (Cook),1.76%,1.41%,2.20%,4
Illinois,Region II,1.44%,1.15%,1.81%,4
Illinois,Region III,2.03%,1.55%,2.65%,4
Illinois,Region IV,1.87%,1.41%,2.48%,4
Illinois,Region V,1.72%,1.29%,2.28%,4
Indiana,Indiana,2.08%,1.72%,2.51%,3
Indiana,Central,2.09%,1.55%,2.81%,4
Indiana,East,2.18%,1.60%,2.96%,4
Indiana,North Central,1.81%,1.33%,2.46%,4
Indiana,Northeast,1.98%,1.45%,2.71%,4
Indiana,Northwest,1.94%,1.41%,2.67%,4
Indiana,Southeast,1.87%,1.36%,2.56%,4
Indiana,Southwest,1.96%,1.43%,2.68%,4
Indiana,West,2.85%,2.06%,3.93%,4
Iowa,Iowa,1.50%,1.20%,1.89%,3
Iowa,Central,1.43%,1.01%,2.02%,4
Iowa,North Central,1.61%,1.15%,2.25%,4
Iowa,Northeast,1.65%,1.18%,2.29%,4
Iowa,Northwest,1.36%,0.97%,1.90%,4
Iowa,Southeast,1.52%,1.10%,2.10%,4
Iowa,Southwest,1.34%,0.94%,1.91%,4
Kansas,Kansas,1.48%,1.16%,1.89%,3
Kansas,Kansas City Metro,1.44%,1.03%,2.00%,4
Kansas,Northeast,1.47%,1.04%,2.09%,4
Kansas,South Central,1.46%,1.02%,2.10%,4
Kansas,Southeast,1.53%,1.06%,2.20%,4
Kansas,West,1.33%,0.94%,1.88%,4
Kansas,Wichita (Sedgwick),1.65%,1.13%,2.39%,4
Kentucky,Kentucky,1.94%,1.58%,2.40%,3
Kentucky,"Adanta, Cumberland River, and Lifeskills",1.80%,1.29%,2.51%,4
Kentucky,"Bluegrass, Comprehend, and North Key",2.10%,1.54%,2.85%,4
Kentucky,Communicare and River Valley,1.77%,1.28%,2.44%,4
Kentucky,Four Rivers and Pennyroyal,1.82%,1.30%,2.55%,4
Kentucky,"Kentucky River, Mountain, and Pathways",1.92%,1.36%,2.69%,4
Kentucky,Seven Counties,2.00%,1.46%,2.75%,4
Louisiana,Louisiana,2.03%,1.66%,2.49%,3
Louisiana,Regions 1 and 10,2.15%,1.62%,2.85%,5
Louisiana,Region 1,2.48%,1.73%,3.53%,4
Louisiana,Region 10 (Jefferson),1.82%,1.30%,2.54%,4
Louisiana,Regions 2 and 9,2.08%,1.56%,2.77%,4
Louisiana,Region 3,1.78%,1.27%,2.49%,4
Louisiana,"Regions 4, 5, and 6",2.05%,1.50%,2.80%,4
Louisiana,Regions 7 and 8,1.94%,1.42%,2.65%,4
Maine,Maine,1.89%,1.54%,2.31%,3
Maine,Aroostook/Downeast,1.83%,1.37%,2.45%,5
Maine,Aroostook,1.80%,1.28%,2.53%,4
Maine,Downeast,1.86%,1.30%,2.66%,4
Maine,Central,1.74%,1.24%,2.42%,4
Maine,Cumberland,2.01%,1.48%,2.72%,4
Maine,Midcoast,1.57%,1.12%,2.19%,4
Maine,Penquis,2.23%,1.64%,3.03%,4
Maine,Western,2.08%,1.52%,2.84%,4
Maine,York,1.65%,1.20%,2.27%,4
Maryland,Maryland,2.07%,1.69%,2.53%,3
Maryland,Anne Arundel,1.94%,1.38%,2.72%,4
Maryland,Baltimore City,3.12%,2.21%,4.39%,4
Maryland,Baltimore County,2.09%,1.50%,2.92%,4
Maryland,Montgomery,1.69%,1.21%,2.35%,4
Maryland,North Central,1.83%,1.30%,2.56%,4
Maryland,Northeast,2.01%,1.45%,2.77%,4
Maryland,Prince George's,2.05%,1.47%,2.87%,4
Maryland,South,2.06%,1.48%,2.87%,4
Maryland,West,1.98%,1.43%,2.74%,4
Massachusetts,Massachusetts,2.13%,1.74%,2.61%,3
Massachusetts,Boston,2.64%,1.92%,3.63%,4
Massachusetts,Central,2.16%,1.57%,2.97%,4
Massachusetts,Metrowest,1.92%,1.39%,2.63%,4
Massachusetts,Northeast,1.91%,1.40%,2.58%,4
Massachusetts,Southeast,2.27%,1.65%,3.11%,4
Massachusetts,Western,2.12%,1.54%,2.93%,4
Michigan,Michigan,1.84%,1.60%,2.12%,3
Michigan,Region 1,1.78%,1.30%,2.43%,4
Michigan,Region 2,1.46%,1.06%,2.00%,4
Michigan,Region 3,1.57%,1.20%,2.05%,4
Michigan,Region 4,1.70%,1.29%,2.23%,4
Michigan,Region 5,1.86%,1.45%,2.37%,4
Michigan,Region 6,2.02%,1.55%,2.65%,4
Michigan,Region 7,2.36%,1.80%,3.10%,4
Michigan,Region 8,1.46%,1.10%,1.94%,4
Michigan,Region 9,1.73%,1.31%,2.28%,4
Michigan,Region 10,2.03%,1.53%,2.70%,4
Minnesota,Minnesota,1.58%,1.27%,1.98%,3
Minnesota,Regions 1 and 2,1.63%,1.12%,2.36%,4
Minnesota,Regions 3 and 4,1.56%,1.12%,2.18%,4
Minnesota,Regions 5 and 6,1.53%,1.10%,2.13%,4
Minnesota,Region 7A (Hennepin),1.71%,1.21%,2.40%,4
Minnesota,Region 7B (Ramsey),1.73%,1.21%,2.48%,4
Minnesota,Region 7C,1.44%,1.06%,1.96%,4
Mississippi,Mississippi,1.91%,1.53%,2.39%,3
Mississippi,Region 1,1.84%,1.34%,2.53%,4
Mississippi,Region 2,2.14%,1.51%,3.02%,4
Mississippi,Region 3,1.85%,1.35%,2.55%,4
Mississippi,Region 4,2.00%,1.43%,2.80%,4
Mississippi,Region 5,2.07%,1.40%,3.05%,4
Mississippi,Region 6,1.87%,1.32%,2.63%,4
Mississippi,Region 7,1.75%,1.24%,2.46%,4
Missouri,Missouri,1.89%,1.55%,2.30%,3
Missouri,Central,2.07%,1.53%,2.80%,4
Missouri,Eastern,1.94%,1.49%,2.52%,5
Missouri,Eastern (St. Louis City and County),2.00%,1.45%,2.74%,4
Missouri,Eastern (excluding St. Louis),1.83%,1.31%,2.55%,4
Missouri,Northwest,1.81%,1.39%,2.36%,5
Missouri,Northwest (Jackson),1.93%,1.39%,2.66%,4
Missouri,Northwest (excluding Jackson),1.71%,1.23%,2.37%,4
Missouri,Southeast,1.87%,1.35%,2.58%,4
Missouri,Southwest,1.75%,1.28%,2.39%,4
Montana,Montana,1.75%,1.42%,2.15%,3
Montana,Region 1,1.63%,1.15%,2.31%,4
Montana,Region 2,1.72%,1.26%,2.36%,4
Montana,Region 3,1.50%,1.09%,2.07%,4
Montana,Region 4,1.96%,1.44%,2.65%,4
Montana,Region 5,1.77%,1.33%,2.34%,4
Nebraska,Nebraska,1.70%,1.36%,2.12%,3
Nebraska,Regions 1 and 2,1.61%,1.20%,2.15%,5
Nebraska,Region 1,1.54%,1.09%,2.16%,4
Nebraska,Region 2,1.67%,1.17%,2.38%,4
Nebraska,Region 3,1.52%,1.09%,2.12%,4
Nebraska,Region 4,1.53%,1.08%,2.15%,4
Nebraska,Region 5,1.74%,1.28%,2.37%,4
Nebraska,Region 6,1.80%,1.35%,2.40%,4
Nevada,Nevada,1.93%,1.53%,2.44%,3
Nevada,Clark - Region 1,1.94%,1.48%,2.55%,4
Nevada,Region 3,1.73%,1.28%,2.33%,5
Nevada,Capital District,1.74%,1.22%,2.48%,4
Nevada,Rural/Frontier,1.71%,1.20%,2.44%,4
Nevada,Washoe - Region 2,2.04%,1.48%,2.81%,4
New Hampshire,New Hampshire,2.03%,1.66%,2.47%,3
New Hampshire,Central,2.08%,1.62%,2.67%,4
New Hampshire,Central 1,2.14%,1.58%,2.90%,5
New Hampshire,Central 2,2.01%,1.47%,2.74%,5
New Hampshire,Northern,1.99%,1.47%,2.69%,4
New Hampshire,Southern,2.01%,1.60%,2.52%,4
New Hampshire,Southern 1 (Rockingham),1.99%,1.49%,2.65%,5
New Hampshire,Southern 2,2.03%,1.53%,2.67%,5
New Jersey,New Jersey,1.77%,1.43%,2.19%,3
New Jersey,Central,1.66%,1.21%,2.28%,4
New Jersey,Metropolitan,1.93%,1.42%,2.62%,4
New Jersey,Northern,1.57%,1.16%,2.12%,4
New Jersey,Southern,2.03%,1.49%,2.77%,4
New Mexico,New Mexico,1.92%,1.53%,2.40%,3
New Mexico,Region 1,1.84%,1.32%,2.55%,4
New Mexico,Region 2,1.67%,1.18%,2.36%,4
New Mexico,Region 3 (Bernalillo),2.02%,1.49%,2.75%,4
New Mexico,Region 4,1.86%,1.33%,2.59%,4
New Mexico,Region 5,2.06%,1.47%,2.87%,4
New York,New York,2.20%,1.92%,2.53%,3
New York,Region A,2.38%,1.98%,2.84%,4
New York,Region 1,2.21%,1.62%,3.01%,5
New York,Region 2,2.56%,1.96%,3.34%,5
New York,Region 3,2.88%,2.12%,3.91%,5
New York,Region 4,1.86%,1.36%,2.55%,5
New York,Region B,1.97%,1.63%,2.39%,4
New York,Region 5,1.94%,1.50%,2.49%,5
New York,Region 6,1.91%,1.42%,2.56%,5
New York,Region 7,2.20%,1.64%,2.95%,5
New York,Region C,2.15%,1.82%,2.55%,4
New York,Region 8,2.10%,1.56%,2.82%,5
New York,Region 9,2.05%,1.54%,2.74%,5
New York,Region 10,2.28%,1.65%,3.15%,5
New York,Region 11,2.22%,1.68%,2.93%,5
New York,Region 12,2.18%,1.67%,2.83%,5
New York,Region D,2.16%,1.74%,2.67%,4
New York,Region 13,2.07%,1.53%,2.80%,5
New York,Region 14,2.14%,1.56%,2.95%,5
New York,Region 15,2.25%,1.66%,3.04%,5
North Carolina,North Carolina,1.91%,1.57%,2.31%,3
North Carolina,Alliance Behavioral Healthcare 1,2.07%,1.49%,2.88%,4
North Carolina,Alliance Behavioral Healthcare 2,1.76%,1.27%,2.43%,4
North Carolina,Cardinal Innovations Healthcare Solutions 1,1.82%,1.31%,2.53%,4
North Carolina,Cardinal Innovations Healthcare Solutions 2,1.83%,1.31%,2.55%,4
North Carolina,Cardinal Innovations Healthcare Solutions 3,1.93%,1.37%,2.73%,4
North Carolina,CenterPoint Human Services,1.71%,1.24%,2.36%,4
North Carolina,Eastpointe,1.94%,1.40%,2.69%,4
North Carolina,Partners Behavioral Health Management,1.87%,1.34%,2.60%,4
North Carolina,Sandhills Center 1,1.76%,1.25%,2.47%,4
North Carolina,Sandhills Center 2,2.05%,1.48%,2.84%,4
North Carolina,Smoky Mountain Center 1,1.77%,1.25%,2.49%,4
North Carolina,Smoky Mountain Center 2,1.78%,1.27%,2.49%,4
North Carolina,Trillium Healthcare Resources 1,2.20%,1.57%,3.07%,4
North Carolina,Trillium Healthcare Resources 2,2.23%,1.60%,3.10%,4
North Dakota,North Dakota,1.74%,1.41%,2.13%,3
North Dakota,Badlands and West Central,1.58%,1.16%,2.14%,4
North Dakota,Lake Region,1.44%,1.02%,2.02%,4
North Dakota,North Central,1.70%,1.20%,2.41%,4
North Dakota,Northeast,2.18%,1.55%,3.06%,4
North Dakota,Northwest,1.84%,1.27%,2.67%,4
North Dakota,South Central,1.65%,1.17%,2.32%,4
North Dakota,Southeast,1.77%,1.29%,2.41%,4
Ohio,Ohio,2.11%,1.86%,2.41%,3
Ohio,"Boards 2, 46, 55, and 68",2.02%,1.48%,2.76%,4
Ohio,"Boards 3, 52, and 85",1.87%,1.38%,2.53%,4
Ohio,Boards 4 and 78,1.99%,1.46%,2.71%,4
Ohio,Boards 5 and 60,2.28%,1.68%,3.10%,4
Ohio,"Boards 7, 15, 41, 79, and 84",1.96%,1.44%,2.66%,4
Ohio,"Boards 8, 13, and 83",1.92%,1.41%,2.60%,4
Ohio,Board 9 (Butler),1.88%,1.38%,2.55%,4
Ohio,Board 12,2.10%,1.54%,2.84%,4
Ohio,Boards 18 and 47,1.85%,1.41%,2.42%,4
Ohio,"Boards 20, 32, 54, and 69",1.73%,1.27%,2.36%,4
Ohio,"Boards 21, 39, 51, 70, and 80",2.09%,1.57%,2.77%,4
Ohio,"Boards 22, 74, and 87",1.91%,1.41%,2.59%,4
Ohio,Boards 23 and 45,1.89%,1.40%,2.54%,4
Ohio,Board 25 (Franklin),2.73%,2.07%,3.59%,4
Ohio,"Boards 27, 71, and 73",2.39%,1.74%,3.29%,4
Ohio,"Boards 28, 43, and 67",2.03%,1.52%,2.69%,4
Ohio,Board 31 (Hamilton),2.30%,1.73%,3.04%,4
Ohio,Board 48 (Lucas),2.16%,1.59%,2.95%,4
Ohio,Boards 50 and 76,2.00%,1.49%,2.67%,4
Ohio,Board 57 (Montgomery),2.49%,1.85%,3.35%,4
Ohio,Board 77 (Summit),2.08%,1.52%,2.83%,4
Oklahoma,Oklahoma,1.57%,1.25%,1.97%,3
Oklahoma,Central,1.60%,1.11%,2.28%,4
Oklahoma,East Central,1.44%,1.03%,2.02%,4
Oklahoma,Northeast,1.54%,1.11%,2.15%,4
Oklahoma,Northwest and Southwest,1.68%,1.17%,2.40%,4
Oklahoma,Oklahoma County,1.55%,1.11%,2.15%,4
Oklahoma,Southeast,1.48%,1.05%,2.06%,4
Oklahoma,Tulsa County,1.67%,1.19%,2.35%,4
Oregon,Oregon,2.15%,1.76%,2.62%,3
Oregon,Region 1 (Multnomah),2.42%,1.74%,3.37%,4
Oregon,Region 2,2.02%,1.50%,2.73%,4
Oregon,Region 3,2.28%,1.73%,2.99%,4
Oregon,Region 4,1.83%,1.31%,2.57%,4
Oregon,Region 5 (Central),1.94%,1.39%,2.69%,4
Oregon,Region 6 (Eastern),1.98%,1.39%,2.82%,4
Pennsylvania,Pennsylvania,2.03%,1.77%,2.34%,3
Pennsylvania,Region 1 (Allegheny),2.29%,1.73%,3.02%,4
Pennsylvania,"Regions 3, 8, 9, and 51",1.95%,1.47%,2.56%,4
Pennsylvania,"Regions 4, 11, 37, and 49",1.78%,1.34%,2.37%,4
Pennsylvania,"Regions 5, 18, 23, 24, and 46",1.66%,1.23%,2.24%,4
Pennsylvania,"Regions 6, 12, 16, 31, 35, 45, and 47",1.85%,1.37%,2.50%,4
Pennsylvania,"Regions 7, 13, 20, and 33",1.86%,1.47%,2.36%,4
Pennsylvania,"Regions 10, 15, 27, 32, 43, and 44",1.83%,1.33%,2.52%,4
Pennsylvania,Regions 17 and 21,2.03%,1.49%,2.77%,4
Pennsylvania,"Regions 19, 26, 28, and 42",1.74%,1.34%,2.27%,4
Pennsylvania,"Regions 22, 38, 40, 41, and 48",1.87%,1.38%,2.54%,4
Pennsylvania,Regions 29 and 34,1.85%,1.35%,2.51%,4
Pennsylvania,Regions 30 and 50,1.84%,1.35%,2.50%,4
Pennsylvania,Region 36 (Philadelphia),3.18%,2.44%,4.14%,4
Rhode Island,Rhode Island,2.42%,1.95%,3.01%,3
Rhode Island,Bristol and Newport,2.01%,1.45%,2.79%,4
Rhode Island,Kent,1.99%,1.41%,2.80%,4
Rhode Island,Providence,2.69%,2.06%,3.51%,4
Rhode Island,Washington,2.12%,1.55%,2.88%,4
South Carolina,South Carolina,1.95%,1.59%,2.40%,3
South Carolina,Region 1,1.95%,1.46%,2.60%,4
South Carolina,Region 2,1.88%,1.38%,2.55%,4
South Carolina,Region 3,1.92%,1.37%,2.67%,4
South Carolina,Region 4,2.05%,1.51%,2.77%,4
South Dakota,South Dakota,1.44%,1.12%,1.85%,3
South Dakota,Region 1,1.47%,1.05%,2.06%,4
South Dakota,Region 2,1.25%,0.86%,1.81%,4
South Dakota,Region 3,1.37%,0.98%,1.91%,4
South Dakota,Region 4,1.48%,1.05%,2.10%,4
South Dakota,Region 5,1.51%,1.07%,2.13%,4
Tennessee,Tennessee,1.83%,1.47%,2.27%,3
Tennessee,Region 1,1.70%,1.19%,2.41%,4
Tennessee,Region 2,1.92%,1.38%,2.67%,4
Tennessee,Region 3,1.80%,1.29%,2.50%,4
Tennessee,Region 4 (Davidson),1.94%,1.37%,2.72%,4
Tennessee,Region 5,1.71%,1.25%,2.34%,4
Tennessee,Region 6,1.78%,1.27%,2.49%,4
Tennessee,Region 7 (Shelby),1.96%,1.40%,2.75%,4
Texas,Texas,1.51%,1.30%,1.75%,3
Texas,Region 1,1.58%,1.16%,2.14%,4
Texas,Region 2,1.68%,1.22%,2.32%,4
Texas,Region 3,1.49%,1.21%,1.83%,4
Texas,Region 3a,1.47%,1.13%,1.90%,5
Texas,Region 3bc,1.52%,1.15%,2.00%,5
Texas,Region 4,1.48%,1.10%,1.99%,4
Texas,Region 5,1.61%,1.18%,2.20%,4
Texas,Region 6,1.51%,1.21%,1.89%,4
Texas,Region 6a,1.51%,1.19%,1.92%,5
Texas,Region 6bc,1.51%,1.10%,2.06%,5
Texas,Region 7,1.60%,1.26%,2.02%,4
Texas,Region 7a,1.57%,1.17%,2.11%,5
Texas,Region 7bcd,1.63%,1.19%,2.23%,5
Texas,Region 8,1.62%,1.21%,2.18%,4
Texas,Region 9,1.54%,1.12%,2.11%,4
Texas,Region 10,1.33%,0.98%,1.80%,4
Texas,Region 11,1.26%,0.99%,1.61%,4
Texas,Region 11abd,1.28%,0.95%,1.72%,5
Texas,Region 11c (Hidalgo),1.23%,0.91%,1.67%,5
Utah,Utah,1.82%,1.45%,2.27%,3
Utah,"Bear River, Northeastern, Summit, Tooele, and Wasatch",1.77%,1.25%,2.51%,4
Utah,"Central, Four Corners, San Juan, and Southwest",1.77%,1.24%,2.52%,4
Utah,Davis County,1.87%,1.33%,2.63%,4
Utah,Salt Lake County,1.73%,1.27%,2.35%,4
Utah,Utah County,2.06%,1.48%,2.86%,4
Utah,"Weber, Morgan",1.73%,1.22%,2.47%,4
Vermont,Vermont,2.34%,1.93%,2.84%,3
Vermont,Champlain Valley,2.56%,1.98%,3.30%,4
Vermont,Rural Northeast,2.29%,1.72%,3.05%,4
Vermont,Rural Southeast,2.09%,1.53%,2.84%,4
Vermont,Rural Southwest,2.20%,1.60%,3.04%,4
Virginia,Virginia,1.82%,1.49%,2.22%,3
Virginia,Region 1,1.89%,1.40%,2.54%,4
Virginia,Region 2,1.41%,1.04%,1.91%,4
Virginia,Region 3,1.85%,1.34%,2.56%,4
Virginia,Region 4,1.99%,1.44%,2.74%,4
Virginia,Region 5,2.13%,1.55%,2.92%,4
Washington,Washington,1.95%,1.59%,2.38%,3
Washington,Region 1,1.87%,1.44%,2.44%,4
Washington,Greater Columbia and North Central,1.75%,1.26%,2.43%,5
Washington,Spokane,2.05%,1.46%,2.86%,5
Washington,Region 2,2.01%,1.56%,2.58%,4
Washington,King,2.01%,1.48%,2.73%,5
Washington,North Sound,2.01%,1.46%,2.75%,5
Washington,Region 3,1.91%,1.51%,2.40%,4
Washington,Peninsula,2.02%,1.40%,2.89%,5
Washington,Pierce,1.92%,1.38%,2.66%,5
Washington,SW WA and Timberlands,1.77%,1.28%,2.44%,5
Washington,Thurston-Mason,2.06%,1.45%,2.93%,5
West Virginia,West Virginia,2.04%,1.66%,2.50%,3
West Virginia,Region I,1.79%,1.27%,2.52%,4
West Virginia,Region II,1.91%,1.39%,2.63%,4
West Virginia,Region III,1.87%,1.31%,2.66%,4
West Virginia,Region IV,2.14%,1.58%,2.89%,4
West Virginia,Region V,2.13%,1.57%,2.90%,4
West Virginia,Region VI,2.06%,1.50%,2.83%,4
Wisconsin,Wisconsin,1.77%,1.43%,2.19%,3
Wisconsin,Milwaukee,2.17%,1.56%,3.01%,4
Wisconsin,Northeastern,1.67%,1.22%,2.29%,4
Wisconsin,Northern,1.61%,1.15%,2.26%,4
Wisconsin,Southeastern,1.69%,1.23%,2.30%,4
Wisconsin,Southern,1.71%,1.25%,2.35%,4
Wisconsin,Western,1.77%,1.30%,2.41%,4
Wyoming,Wyoming,1.63%,1.30%,2.02%,3
Wyoming,Judicial District 1 (Laramie),1.63%,1.17%,2.26%,4
Wyoming,Judicial District 2,2.14%,1.49%,3.07%,4
Wyoming,Judicial District 3,1.48%,1.05%,2.09%,4
Wyoming,Judicial District 4,1.54%,1.08%,2.18%,4
Wyoming,Judicial District 5,1.50%,1.05%,2.12%,4
Wyoming,Judicial District 6,1.61%,1.13%,2.30%,4
Wyoming,Judicial District 7 (Natrona),1.65%,1.16%,2.34%,4
Wyoming,Judicial District 8,1.49%,1.05%,2.09%,4
Wyoming,Judicial District 9,1.59%,1.09%,2.31%,4
