,Utilization Type,State,label_code,product_code,package_size,Year,Quarter,product_name,suppression,units_reimb,num_rx,total_amt_reimb,med_amt_reimb,nonmed_amt_reimb,qtr_begin,qtr_begin_date,Latitude,Longitude,Location,NDC,PRODUCTNDC,PRODUCTID,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE,startdate,enddate
10,MCOU,SC,59011,750,4,2017,1,BUTRANS,True,,,,,,1/1,01/01/2017 12:00:00 AM,33.8191,-80.9066,"(33.8191, -80.9066)",59011075004,59011-750,59011-750_48dabfa7-0727-1779-6d41-cffa031eeb77,HUMAN PRESCRIPTION DRUG,Butrans,,buprenorphine,"PATCH, EXTENDED RELEASE",TRANSDERMAL,20110214,0,NDA,NDA021306,Purdue Pharma LP,BUPRENORPHINE,5,ug/h,"Partial Opioid Agonist [EPC],Partial Opioid Agonists [MoA]",CIII,2011-02-14,1970-01-01
11,FFSU,SC,50458,861,1,2017,1,NUCYNTA ER,True,,,,,,1/1,01/01/2017 12:00:00 AM,33.8191,-80.9066,"(33.8191, -80.9066)",50458086101,50458-861,50458-861_bdb7e201-5be5-44cf-8b9f-a9a885112b96,HUMAN PRESCRIPTION DRUG,Nucynta,ER,tapentadol hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20110825,0,NDA,NDA200533,"Janssen Pharmaceuticals, Inc.",TAPENTADOL HYDROCHLORIDE,100,mg/1,"Opioid Agonist [EPC],Opioid Agonists [MoA]",CII,2011-08-25,1970-01-01
12,FFSU,CA,50458,863,1,2017,1,NUCYNTA ER,True,,,,,,1/1,01/01/2017 12:00:00 AM,36.17,-119.7462,"(36.17, -119.7462)",50458086301,50458-863,50458-863_bdb7e201-5be5-44cf-8b9f-a9a885112b96,HUMAN PRESCRIPTION DRUG,Nucynta,ER,tapentadol hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20110825,0,NDA,NDA200533,"Janssen Pharmaceuticals, Inc.",TAPENTADOL HYDROCHLORIDE,200,mg/1,"Opioid Agonist [EPC],Opioid Agonists [MoA]",CII,2011-08-25,1970-01-01
13,FFSU,AR,591,3212,72,2017,1,FENTANYL,False,170.0,19.0,1225.99,1225.99,0.0,1/1,01/01/2017 12:00:00 AM,34.9513,-92.3809,"(34.9513, -92.3809)",591321272,591-3212,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
14,FFSU,XX,53014,548,1,2017,1,TUSSIONEX,False,1915.0,20.0,2396.29,2387.29,9.0,1/1,01/01/2017 12:00:00 AM,,,,53014054801,53014-548,53014-548_0503c2c1-238b-4189-9b9c-08e712fa9313,HUMAN PRESCRIPTION DRUG,Tussionex Pennkinetic,,hydrocodone polistirex and chlorpheniramine polistirex,"SUSPENSION, EXTENDED RELEASE",ORAL,19871231,0,NDA,NDA019111,Unither Manufacturing LLC,HYDROCODONE; CHLORPHENIRAMINE,10; 8,mg/5mL; mg/5mL,"Opioid Agonist [EPC],Opioid Agonists [MoA],Histamine H1 Receptor Antagonists [MoA],Histamine-1 Receptor Antagonist [EPC]",CII,1987-12-31,1970-01-01
15,MCOU,KY,59011,757,4,2017,1,BUTRANS,True,,,,,,1/1,01/01/2017 12:00:00 AM,37.669,-84.6514,"(37.669, -84.6514)",59011075704,59011-757,59011-757_48dabfa7-0727-1779-6d41-cffa031eeb77,HUMAN PRESCRIPTION DRUG,Butrans,,buprenorphine,"PATCH, EXTENDED RELEASE",TRANSDERMAL,20110214,0,NDA,NDA021306,Purdue Pharma LP,BUPRENORPHINE,7.5,ug/h,"Partial Opioid Agonist [EPC],Partial Opioid Agonists [MoA]",CIII,2011-02-14,1970-01-01
16,FFSU,CT,50458,863,1,2017,1,NUCYNTA ER,True,,,,,,1/1,01/01/2017 12:00:00 AM,41.5834,-72.7622,"(41.5834, -72.7622)",50458086301,50458-863,50458-863_bdb7e201-5be5-44cf-8b9f-a9a885112b96,HUMAN PRESCRIPTION DRUG,Nucynta,ER,tapentadol hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20110825,0,NDA,NDA200533,"Janssen Pharmaceuticals, Inc.",TAPENTADOL HYDROCHLORIDE,200,mg/1,"Opioid Agonist [EPC],Opioid Agonists [MoA]",CII,2011-08-25,1970-01-01
17,MCOU,IA,50458,860,1,2017,1,NUCYNTA ER,True,,,,,,1/1,01/01/2017 12:00:00 AM,42.0046,-93.214,"(42.0046, -93.214)",50458086001,50458-860,50458-860_bdb7e201-5be5-44cf-8b9f-a9a885112b96,HUMAN PRESCRIPTION DRUG,Nucynta,ER,tapentadol hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20110825,0,NDA,NDA200533,"Janssen Pharmaceuticals, Inc.",TAPENTADOL HYDROCHLORIDE,50,mg/1,"Opioid Agonist [EPC],Opioid Agonists [MoA]",CII,2011-08-25,1970-01-01
18,FFSU,PA,59011,460,10,2017,1,OXYCONTIN,True,,,,,,1/1,01/01/2017 12:00:00 AM,40.5773,-77.264,"(40.5773, -77.264)",59011046010,59011-460,59011-460_7878ad7b-5d64-40e9-af0e-a366c5b17849,HUMAN PRESCRIPTION DRUG,OxyContin,,oxycodone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20100808,0,NDA,NDA022272,Purdue Pharma LP,OXYCODONE HYDROCHLORIDE,60,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2010-08-08,1970-01-01
19,FFSU,FL,74,3041,13,2017,1,VICODIN,True,,,,,,1/1,01/01/2017 12:00:00 AM,27.8333,-81.717,"(27.8333, -81.717)",74304113,74-3041,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
20,FFSU,AK,409,1180,69,2017,1,DEMEROL,False,123.5,116.0,1285.31,1228.11,57.2,1/1,01/01/2017 12:00:00 AM,61.385,-152.2683,"(61.385, -152.2683)",409118069,409-1180,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
21,FFSU,MS,59011,460,10,2017,1,OXYCONTIN,True,,,,,,1/1,01/01/2017 12:00:00 AM,32.7673,-89.6812,"(32.7673, -89.6812)",59011046010,59011-460,59011-460_7878ad7b-5d64-40e9-af0e-a366c5b17849,HUMAN PRESCRIPTION DRUG,OxyContin,,oxycodone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20100808,0,NDA,NDA022272,Purdue Pharma LP,OXYCODONE HYDROCHLORIDE,60,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2010-08-08,1970-01-01
22,MCOU,WA,406,527,10,2017,1,METHADOSE,True,,,,,,1/1,01/01/2017 12:00:00 AM,47.3917,-121.5708,"(47.3917, -121.5708)",406052710,406-527,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
23,FFSU,AR,63481,817,60,2017,1,OPANA ER,True,,,,,,1/1,01/01/2017 12:00:00 AM,34.9513,-92.3809,"(34.9513, -92.3809)",63481081760,63481-817,63481-817_ee1e2e27-7455-429d-99d1-e5962ac1eb2c,HUMAN PRESCRIPTION DRUG,Opana,ER,oxymorphone hydrochloride,"TABLET, EXTENDED RELEASE",ORAL,20120320,20191101,NDA,NDA201655,"Endo Pharmaceuticals, Inc.",OXYMORPHONE HYDROCHLORIDE,30,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2012-03-20,2019-11-01
24,FFSU,PA,63481,817,60,2017,1,OPANA ER,True,,,,,,1/1,01/01/2017 12:00:00 AM,40.5773,-77.264,"(40.5773, -77.264)",63481081760,63481-817,63481-817_ee1e2e27-7455-429d-99d1-e5962ac1eb2c,HUMAN PRESCRIPTION DRUG,Opana,ER,oxymorphone hydrochloride,"TABLET, EXTENDED RELEASE",ORAL,20120320,20191101,NDA,NDA201655,"Endo Pharmaceuticals, Inc.",OXYMORPHONE HYDROCHLORIDE,30,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2012-03-20,2019-11-01
25,MCOU,MN,74,3043,53,2017,1,VICODIN ES,True,,,,,,1/1,01/01/2017 12:00:00 AM,45.7326,-93.9196,"(45.7326, -93.9196)",74304353,74-3043,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
26,MCOU,AZ,74,3054,13,2017,1,VICODIN HP,True,,,,,,1/1,01/01/2017 12:00:00 AM,33.7712,-111.3877,"(33.7712, -111.3877)",74305413,74-3054,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
27,FFSU,VT,50458,860,1,2017,1,NUCYNTA ER,True,,,,,,1/1,01/01/2017 12:00:00 AM,44.0407,-72.7093,"(44.0407, -72.7093)",50458086001,50458-860,50458-860_bdb7e201-5be5-44cf-8b9f-a9a885112b96,HUMAN PRESCRIPTION DRUG,Nucynta,ER,tapentadol hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20110825,0,NDA,NDA200533,"Janssen Pharmaceuticals, Inc.",TAPENTADOL HYDROCHLORIDE,50,mg/1,"Opioid Agonist [EPC],Opioid Agonists [MoA]",CII,2011-08-25,1970-01-01
28,FFSU,ID,406,9012,76,2017,1,FENTANYL,False,124.0,13.0,1646.92,1646.92,0.0,1/1,01/01/2017 12:00:00 AM,44.2394,-114.5103,"(44.2394, -114.5103)",406901276,406-9012,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
29,MCOU,XX,187,108,20,2017,1,TUSSICAPS,True,,,,,,1/1,01/01/2017 12:00:00 AM,,,,187010820,187-108,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
30,FFSU,MN,59011,415,10,2017,1,OXYCONTIN,False,1504.0,27.0,7548.03,6962.54,585.49,1/1,01/01/2017 12:00:00 AM,45.7326,-93.9196,"(45.7326, -93.9196)",59011041510,59011-415,59011-415_7878ad7b-5d64-40e9-af0e-a366c5b17849,HUMAN PRESCRIPTION DRUG,OxyContin,,oxycodone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20100808,0,NDA,NDA022272,Purdue Pharma LP,OXYCODONE HYDROCHLORIDE,15,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2010-08-08,1970-01-01
31,FFSU,AL,50458,860,1,2017,1,NUCYNTA ER,False,840.0,14.0,4462.92,4408.32,54.6,1/1,01/01/2017 12:00:00 AM,32.799,-86.8073,"(32.799, -86.8073)",50458086001,50458-860,50458-860_bdb7e201-5be5-44cf-8b9f-a9a885112b96,HUMAN PRESCRIPTION DRUG,Nucynta,ER,tapentadol hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20110825,0,NDA,NDA200533,"Janssen Pharmaceuticals, Inc.",TAPENTADOL HYDROCHLORIDE,50,mg/1,"Opioid Agonist [EPC],Opioid Agonists [MoA]",CII,2011-08-25,1970-01-01
32,MCOU,AZ,50991,579,1,2017,1,IBUDONE,True,,,,,,1/1,01/01/2017 12:00:00 AM,33.7712,-111.3877,"(33.7712, -111.3877)",50991057901,50991-579,50991-579_9c1638e4-b634-49d1-8fc4-a187e280d82e,HUMAN PRESCRIPTION DRUG,IBUDONE,,hydrocodone bitartrate and ibuprofen,"TABLET, FILM COATED",ORAL,20061106,0,ANDA,ANDA077723,Poly Pharmaceuticals,HYDROCODONE BITARTRATE; IBUPROFEN,10; 200,mg/1; mg/1,"Opioid Agonist [EPC],Opioid Agonists [MoA],Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]",CII,2006-11-06,1970-01-01
33,MCOU,MS,50458,861,1,2017,1,NUCYNTA ER,True,,,,,,1/1,01/01/2017 12:00:00 AM,32.7673,-89.6812,"(32.7673, -89.6812)",50458086101,50458-861,50458-861_bdb7e201-5be5-44cf-8b9f-a9a885112b96,HUMAN PRESCRIPTION DRUG,Nucynta,ER,tapentadol hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20110825,0,NDA,NDA200533,"Janssen Pharmaceuticals, Inc.",TAPENTADOL HYDROCHLORIDE,100,mg/1,"Opioid Agonist [EPC],Opioid Agonists [MoA]",CII,2011-08-25,1970-01-01
34,FFSU,FL,59011,415,10,2017,1,OXYCONTIN,True,,,,,,1/1,01/01/2017 12:00:00 AM,27.8333,-81.717,"(27.8333, -81.717)",59011041510,59011-415,59011-415_7878ad7b-5d64-40e9-af0e-a366c5b17849,HUMAN PRESCRIPTION DRUG,OxyContin,,oxycodone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20100808,0,NDA,NDA022272,Purdue Pharma LP,OXYCODONE HYDROCHLORIDE,15,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2010-08-08,1970-01-01
35,FFSU,ID,59011,410,10,2017,1,OXYCONTIN,False,3662.0,67.0,12529.34,12529.3,0.04,1/1,01/01/2017 12:00:00 AM,44.2394,-114.5103,"(44.2394, -114.5103)",59011041010,59011-410,59011-410_7878ad7b-5d64-40e9-af0e-a366c5b17849,HUMAN PRESCRIPTION DRUG,OxyContin,,oxycodone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20100808,0,NDA,NDA022272,Purdue Pharma LP,OXYCODONE HYDROCHLORIDE,10,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2010-08-08,1970-01-01
36,MCOU,MA,59011,262,10,2017,1,MS CONTIN,True,,,,,,1/1,01/01/2017 12:00:00 AM,42.2373,-71.5314,"(42.2373, -71.5314)",59011026210,59011-262,59011-262_7132048d-6d8b-ad24-09ad-1d2d8c7e727e,HUMAN PRESCRIPTION DRUG,MS Contin,,morphine sulfate,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,19870701,0,NDA,NDA019516,Purdue Pharma LP,MORPHINE SULFATE,60,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,1987-07-01,1970-01-01
37,FFSU,AR,591,3198,72,2017,1,FENTANYL,False,260.0,27.0,1087.12,1087.12,0.0,1/1,01/01/2017 12:00:00 AM,34.9513,-92.3809,"(34.9513, -92.3809)",591319872,591-3198,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
38,MCOU,LA,59011,415,10,2017,1,OXYCONTIN,False,1338.0,23.0,6530.06,6249.36,280.7,1/1,01/01/2017 12:00:00 AM,31.1801,-91.8749,"(31.1801, -91.8749)",59011041510,59011-415,59011-415_7878ad7b-5d64-40e9-af0e-a366c5b17849,HUMAN PRESCRIPTION DRUG,OxyContin,,oxycodone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20100808,0,NDA,NDA022272,Purdue Pharma LP,OXYCODONE HYDROCHLORIDE,15,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2010-08-08,1970-01-01
39,MCOU,KY,50458,94,5,2017,1,DURAGESIC,True,,,,,,1/1,01/01/2017 12:00:00 AM,37.669,-84.6514,"(37.669, -84.6514)",50458009405,50458-94,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
40,FFSU,MO,378,9121,98,2017,1,FENTANYL,False,967.0,104.0,5183.46,5145.32,38.14,1/1,01/01/2017 12:00:00 AM,38.4623,-92.302,"(38.4623, -92.302)",378912198,378-9121,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
41,FFSU,ME,406,9075,76,2017,1,FENTANYL,False,380.0,36.0,3327.09,3063.18,263.91,1/1,01/01/2017 12:00:00 AM,44.6074,-69.3977,"(44.6074, -69.3977)",406907576,406-9075,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
42,MCOU,FL,53014,548,1,2017,1,TUSSIONEX,True,,,,,,1/1,01/01/2017 12:00:00 AM,27.8333,-81.717,"(27.8333, -81.717)",53014054801,53014-548,53014-548_0503c2c1-238b-4189-9b9c-08e712fa9313,HUMAN PRESCRIPTION DRUG,Tussionex Pennkinetic,,hydrocodone polistirex and chlorpheniramine polistirex,"SUSPENSION, EXTENDED RELEASE",ORAL,19871231,0,NDA,NDA019111,Unither Manufacturing LLC,HYDROCODONE; CHLORPHENIRAMINE,10; 8,mg/5mL; mg/5mL,"Opioid Agonist [EPC],Opioid Agonists [MoA],Histamine H1 Receptor Antagonists [MoA],Histamine-1 Receptor Antagonist [EPC]",CII,1987-12-31,1970-01-01
43,FFSU,SC,63481,814,60,2017,1,OPANA ER,True,,,,,,1/1,01/01/2017 12:00:00 AM,33.8191,-80.9066,"(33.8191, -80.9066)",63481081460,63481-814,63481-814_ee1e2e27-7455-429d-99d1-e5962ac1eb2c,HUMAN PRESCRIPTION DRUG,Opana,ER,oxymorphone hydrochloride,"TABLET, EXTENDED RELEASE",ORAL,20120320,20200101,NDA,NDA201655,"Endo Pharmaceuticals, Inc.",OXYMORPHONE HYDROCHLORIDE,10,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2012-03-20,2020-01-01
44,MCOU,NH,50458,860,1,2017,1,NUCYNTA ER,True,,,,,,1/1,01/01/2017 12:00:00 AM,43.4108,-71.5653,"(43.4108, -71.5653)",50458086001,50458-860,50458-860_bdb7e201-5be5-44cf-8b9f-a9a885112b96,HUMAN PRESCRIPTION DRUG,Nucynta,ER,tapentadol hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20110825,0,NDA,NDA200533,"Janssen Pharmaceuticals, Inc.",TAPENTADOL HYDROCHLORIDE,50,mg/1,"Opioid Agonist [EPC],Opioid Agonists [MoA]",CII,2011-08-25,1970-01-01
45,FFSU,MO,50458,94,5,2017,1,DURAGESIC,False,320.0,22.0,34074.38,34074.38,0.0,1/1,01/01/2017 12:00:00 AM,38.4623,-92.302,"(38.4623, -92.302)",50458009405,50458-94,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
46,FFSU,FL,409,1178,30,2017,1,DEMEROL,False,46.0,22.0,4865.39,4865.39,0.0,1/1,01/01/2017 12:00:00 AM,27.8333,-81.717,"(27.8333, -81.717)",409117830,409-1178,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
47,MCOU,WA,59011,430,10,2017,1,OXYCONTIN,False,15870.0,300.0,127254.54,127059.49,195.05,1/1,01/01/2017 12:00:00 AM,47.3917,-121.5708,"(47.3917, -121.5708)",59011043010,59011-430,59011-430_7878ad7b-5d64-40e9-af0e-a366c5b17849,HUMAN PRESCRIPTION DRUG,OxyContin,,oxycodone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20100808,0,NDA,NDA022272,Purdue Pharma LP,OXYCODONE HYDROCHLORIDE,30,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2010-08-08,1970-01-01
48,MCOU,CO,378,9123,98,2017,1,FENTANYL,True,,,,,,1/1,01/01/2017 12:00:00 AM,39.0646,-105.3272,"(39.0646, -105.3272)",378912398,378-9123,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
49,FFSU,MI,591,3213,72,2017,1,FENTANYL,False,289.0,29.0,1972.06,1606.29,365.77,1/1,01/01/2017 12:00:00 AM,43.3504,-84.5603,"(43.3504, -84.5603)",591321372,591-3213,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
50,MCOU,LA,59011,758,4,2017,1,BUTRANS,True,,,,,,1/1,01/01/2017 12:00:00 AM,31.1801,-91.8749,"(31.1801, -91.8749)",59011075804,59011-758,59011-758_48dabfa7-0727-1779-6d41-cffa031eeb77,HUMAN PRESCRIPTION DRUG,Butrans,,buprenorphine,"PATCH, EXTENDED RELEASE",TRANSDERMAL,20110214,0,NDA,NDA021306,Purdue Pharma LP,BUPRENORPHINE,15,ug/h,"Partial Opioid Agonist [EPC],Partial Opioid Agonists [MoA]",CIII,2011-02-14,1970-01-01
51,MCOU,VA,50458,93,5,2017,1,DURAGESIC,True,,,,,,1/1,01/01/2017 12:00:00 AM,37.768,-78.2057,"(37.768, -78.2057)",50458009305,50458-93,,,,,,,,0,0,,,,,,,,,1970-01-01,1970-01-01
52,MCOU,DE,59011,410,20,2017,1,OXYCONTIN,True,,,,,,1/1,01/01/2017 12:00:00 AM,39.3498,-75.5148,"(39.3498, -75.5148)",59011041020,59011-410,59011-410_7878ad7b-5d64-40e9-af0e-a366c5b17849,HUMAN PRESCRIPTION DRUG,OxyContin,,oxycodone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20100808,0,NDA,NDA022272,Purdue Pharma LP,OXYCODONE HYDROCHLORIDE,10,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2010-08-08,1970-01-01
53,MCOU,MA,59011,480,10,2017,1,OXYCONTIN,False,9423.0,133.0,178988.36,178521.16,467.2,1/1,01/01/2017 12:00:00 AM,42.2373,-71.5314,"(42.2373, -71.5314)",59011048010,59011-480,59011-480_7878ad7b-5d64-40e9-af0e-a366c5b17849,HUMAN PRESCRIPTION DRUG,OxyContin,,oxycodone hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20100808,0,NDA,NDA022272,Purdue Pharma LP,OXYCODONE HYDROCHLORIDE,80,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2010-08-08,1970-01-01
54,FFSU,AK,63481,818,60,2017,1,OPANA ER,True,,,,,,1/1,01/01/2017 12:00:00 AM,61.385,-152.2683,"(61.385, -152.2683)",63481081860,63481-818,63481-818_ee1e2e27-7455-429d-99d1-e5962ac1eb2c,HUMAN PRESCRIPTION DRUG,Opana,ER,oxymorphone hydrochloride,"TABLET, EXTENDED RELEASE",ORAL,20120320,20190701,NDA,NDA201655,"Endo Pharmaceuticals, Inc.",OXYMORPHONE HYDROCHLORIDE,40,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII,2012-03-20,2019-07-01
