State,Substate Region,Small Area Estimate,95% CI (Lower),95% CI (Upper),Map Group
Hawaii,Hawaii Island,4.37%,3.19%,5.96%,4
Hawaii,Honolulu,4.73%,3.81%,5.86%,4
Hawaii,Kauai,4.26%,3.08%,5.85%,4
Hawaii,Maui,4.57%,3.34%,6.21%,4
Idaho,Idaho,4.29%,3.60%,5.10%,3
Idaho,Region 1,3.88%,2.97%,5.06%,4
Idaho,Region 2,4.26%,3.23%,5.60%,4
Idaho,Region 3,4.05%,3.14%,5.20%,4
Idaho,Region 4,4.72%,3.73%,5.95%,4
Idaho,Region 5,3.98%,3.01%,5.23%,4
Idaho,Region 6,4.56%,3.49%,5.94%,4
Idaho,Region 7,4.21%,3.24%,5.46%,4
Illinois,Illinois,3.59%,3.19%,4.03%,3
Illinois,Region I (Cook),3.47%,2.92%,4.12%,4
Illinois,Region II,3.57%,2.98%,4.26%,4
Illinois,Region III,3.96%,3.23%,4.85%,4
Illinois,Region IV,3.56%,2.81%,4.50%,4
Illinois,Region V,3.74%,3.02%,4.63%,4
Indiana,Indiana,4.98%,4.20%,5.90%,3
Indiana,Central,5.08%,3.97%,6.48%,4
Indiana,East,5.14%,3.98%,6.64%,4
Indiana,North Central,4.70%,3.63%,6.06%,4
Indiana,Northeast,4.87%,3.75%,6.31%,4
Indiana,Northwest,4.93%,3.80%,6.38%,4
Indiana,Southeast,4.91%,3.80%,6.33%,4
Indiana,Southwest,4.62%,3.52%,6.05%,4
Indiana,West,5.46%,4.27%,6.96%,4
Iowa,Iowa,3.76%,3.10%,4.55%,3
Iowa,Central,3.61%,2.76%,4.72%,4
Iowa,North Central,3.98%,3.00%,5.26%,4
Iowa,Northeast,3.83%,2.95%,4.95%,4
Iowa,Northwest,3.65%,2.74%,4.85%,4
Iowa,Southeast,3.88%,2.99%,5.02%,4
Iowa,Southwest,3.50%,2.61%,4.68%,4
Kansas,Kansas,4.03%,3.33%,4.88%,3
Kansas,Kansas City Metro,4.06%,3.15%,5.21%,4
Kansas,Northeast,4.09%,3.13%,5.33%,4
Kansas,South Central,3.91%,2.96%,5.14%,4
Kansas,Southeast,4.25%,3.16%,5.68%,4
Kansas,West,3.85%,2.91%,5.08%,4
Kansas,Wichita (Sedgwick),4.02%,3.07%,5.23%,4
Kentucky,Kentucky,4.31%,3.58%,5.19%,3
Kentucky,"Adanta, Cumberland River, and Lifeskills",4.11%,3.13%,5.38%,4
Kentucky,"Bluegrass, Comprehend, and North Key",4.53%,3.52%,5.81%,4
Kentucky,Communicare and River Valley,4.15%,3.18%,5.40%,4
Kentucky,Four Rivers and Pennyroyal,4.07%,3.07%,5.37%,4
Kentucky,"Kentucky River, Mountain, and Pathways",4.15%,3.14%,5.48%,4
Kentucky,Seven Counties,4.43%,3.38%,5.79%,4
Louisiana,Louisiana,4.79%,4.03%,5.68%,3
Louisiana,Regions 1 and 10,4.61%,3.65%,5.81%,5
Louisiana,Region 1,4.63%,3.50%,6.09%,4
Louisiana,Region 10 (Jefferson),4.60%,3.42%,6.15%,4
Louisiana,Regions 2 and 9,5.30%,4.17%,6.71%,4
Louisiana,Region 3,4.70%,3.59%,6.13%,4
Louisiana,"Regions 4, 5, and 6",4.59%,3.56%,5.91%,4
Louisiana,Regions 7 and 8,4.56%,3.57%,5.81%,4
Maine,Maine,3.59%,2.94%,4.36%,3
Maine,Aroostook/Downeast,3.41%,2.63%,4.41%,5
Maine,Aroostook,3.35%,2.48%,4.50%,4
Maine,Downeast,3.46%,2.53%,4.72%,4
Maine,Central,3.63%,2.73%,4.82%,4
Maine,Cumberland,3.55%,2.68%,4.68%,4
Maine,Midcoast,3.18%,2.36%,4.25%,4
Maine,Penquis,3.83%,2.91%,5.01%,4
Maine,Western,3.87%,2.91%,5.14%,4
Maine,York,3.55%,2.65%,4.75%,4
Maryland,Maryland,4.07%,3.33%,4.97%,3
Maryland,Anne Arundel,4.14%,3.09%,5.52%,4
Maryland,Baltimore City,4.60%,3.42%,6.16%,4
Maryland,Baltimore County,4.26%,3.20%,5.64%,4
Maryland,Montgomery,3.70%,2.75%,4.96%,4
Maryland,North Central,3.75%,2.79%,5.02%,4
Maryland,Northeast,4.18%,3.13%,5.57%,4
Maryland,Prince George's,3.96%,2.94%,5.32%,4
Maryland,South,4.12%,3.07%,5.51%,4
Maryland,West,4.12%,3.08%,5.50%,4
Massachusetts,Massachusetts,3.49%,2.86%,4.27%,3
Massachusetts,Boston,4.15%,3.13%,5.49%,4
Massachusetts,Central,3.67%,2.75%,4.88%,4
Massachusetts,Metrowest,3.26%,2.45%,4.32%,4
Massachusetts,Northeast,3.29%,2.49%,4.34%,4
Massachusetts,Southeast,3.40%,2.56%,4.48%,4
Massachusetts,Western,3.55%,2.67%,4.72%,4
Michigan,Michigan,4.36%,3.91%,4.85%,3
Michigan,Region 1,3.96%,3.13%,4.99%,4
Michigan,Region 2,3.68%,2.85%,4.73%,4
Michigan,Region 3,4.34%,3.57%,5.27%,4
Michigan,Region 4,4.41%,3.61%,5.37%,4
Michigan,Region 5,4.74%,3.95%,5.68%,4
Michigan,Region 6,4.12%,3.34%,5.08%,4
Michigan,Region 7,4.37%,3.58%,5.32%,4
Michigan,Region 8,4.07%,3.30%,5.01%,4
Michigan,Region 9,4.40%,3.56%,5.44%,4
Michigan,Region 10,4.76%,3.84%,5.89%,4
Minnesota,Minnesota,3.41%,2.78%,4.17%,3
Minnesota,Regions 1 and 2,3.47%,2.57%,4.68%,4
Minnesota,Regions 3 and 4,3.50%,2.67%,4.56%,4
Minnesota,Regions 5 and 6,3.43%,2.58%,4.54%,4
Minnesota,Region 7A (Hennepin),3.19%,2.41%,4.23%,4
Minnesota,Region 7B (Ramsey),3.69%,2.73%,4.96%,4
Minnesota,Region 7C,3.37%,2.59%,4.39%,4
Mississippi,Mississippi,4.76%,3.99%,5.66%,3
Mississippi,Region 1,5.22%,4.07%,6.67%,4
Mississippi,Region 2,4.73%,3.63%,6.14%,4
Mississippi,Region 3,4.58%,3.57%,5.87%,4
Mississippi,Region 4,4.48%,3.45%,5.80%,4
Mississippi,Region 5,4.54%,3.43%,5.99%,4
Mississippi,Region 6,4.75%,3.69%,6.09%,4
Mississippi,Region 7,4.67%,3.57%,6.09%,4
Missouri,Missouri,4.21%,3.50%,5.05%,3
Missouri,Central,4.51%,3.49%,5.80%,4
Missouri,Eastern,4.04%,3.23%,5.04%,5
Missouri,Eastern (St. Louis City and County),3.92%,3.01%,5.09%,4
Missouri,Eastern (excluding St. Louis),4.26%,3.26%,5.55%,4
Missouri,Northwest,4.14%,3.28%,5.22%,5
Missouri,Northwest (Jackson),4.02%,3.00%,5.35%,4
Missouri,Northwest (excluding Jackson),4.25%,3.22%,5.58%,4
Missouri,Southeast,4.32%,3.28%,5.68%,4
Missouri,Southwest,4.32%,3.33%,5.58%,4
Montana,Montana,3.46%,2.81%,4.25%,3
Montana,Region 1,3.17%,2.30%,4.36%,4
Montana,Region 2,3.46%,2.60%,4.58%,4
Montana,Region 3,3.29%,2.48%,4.34%,4
Montana,Region 4,3.64%,2.78%,4.74%,4
Montana,Region 5,3.50%,2.70%,4.53%,4
Nebraska,Nebraska,3.61%,2.97%,4.38%,3
Nebraska,Regions 1 and 2,3.59%,2.76%,4.66%,5
Nebraska,Region 1,3.48%,2.57%,4.70%,4
Nebraska,Region 2,3.69%,2.69%,5.02%,4
Nebraska,Region 3,3.46%,2.64%,4.54%,4
Nebraska,Region 4,3.47%,2.59%,4.65%,4
Nebraska,Region 5,3.73%,2.90%,4.78%,4
Nebraska,Region 6,3.62%,2.83%,4.62%,4
Nevada,Nevada,5.20%,4.26%,6.33%,3
Nevada,Clark - Region 1,5.37%,4.29%,6.70%,4
Nevada,Region 3,4.71%,3.63%,6.08%,5
Nevada,Capital District,4.56%,3.35%,6.19%,4
Nevada,Rural/Frontier,4.84%,3.57%,6.52%,4
Nevada,Washoe - Region 2,4.83%,3.71%,6.26%,4
New Hampshire,New Hampshire,4.32%,3.62%,5.14%,3
New Hampshire,Central,4.44%,3.60%,5.47%,4
New Hampshire,Central 1,4.57%,3.55%,5.85%,5
New Hampshire,Central 2,4.32%,3.33%,5.60%,5
New Hampshire,Northern,4.11%,3.14%,5.37%,4
New Hampshire,Southern,4.30%,3.51%,5.25%,4
New Hampshire,Southern 1 (Rockingham),4.02%,3.11%,5.20%,5
New Hampshire,Southern 2,4.47%,3.54%,5.63%,5
New Jersey,New Jersey,3.92%,3.23%,4.75%,3
New Jersey,Central,4.05%,3.10%,5.29%,4
New Jersey,Metropolitan,3.58%,2.73%,4.69%,4
New Jersey,Northern,4.00%,3.08%,5.18%,4
New Jersey,Southern,4.02%,3.11%,5.19%,4
New Mexico,New Mexico,4.84%,3.98%,5.87%,3
New Mexico,Region 1,4.44%,3.39%,5.81%,4
New Mexico,Region 2,4.37%,3.23%,5.89%,4
New Mexico,Region 3 (Bernalillo),5.07%,3.91%,6.54%,4
New Mexico,Region 4,4.99%,3.83%,6.49%,4
New Mexico,Region 5,5.12%,3.92%,6.66%,4
New York,New York,3.87%,3.41%,4.38%,3
New York,Region A,3.83%,3.27%,4.49%,4
New York,Region 1,3.84%,3.05%,4.82%,5
New York,Region 2,3.93%,3.16%,4.87%,5
New York,Region 3,4.27%,3.33%,5.46%,5
New York,Region 4,3.38%,2.61%,4.37%,5
New York,Region B,3.72%,3.15%,4.38%,4
New York,Region 5,3.73%,3.00%,4.63%,5
New York,Region 6,3.52%,2.78%,4.47%,5
New York,Region 7,3.98%,3.12%,5.06%,5
New York,Region C,4.02%,3.49%,4.61%,4
New York,Region 8,3.91%,3.08%,4.95%,5
New York,Region 9,3.88%,3.10%,4.85%,5
New York,Region 10,4.42%,3.43%,5.66%,5
New York,Region 11,3.99%,3.21%,4.96%,5
New York,Region 12,4.09%,3.28%,5.08%,5
New York,Region D,4.10%,3.44%,4.87%,4
New York,Region 13,3.86%,3.02%,4.92%,5
New York,Region 14,4.11%,3.19%,5.29%,5
New York,Region 15,4.29%,3.37%,5.46%,5
North Carolina,North Carolina,4.57%,3.81%,5.48%,3
North Carolina,Alliance Behavioral Healthcare 1,4.61%,3.51%,6.02%,4
North Carolina,Alliance Behavioral Healthcare 2,4.14%,3.11%,5.49%,4
North Carolina,Cardinal Innovations Healthcare Solutions 1,4.35%,3.25%,5.80%,4
North Carolina,Cardinal Innovations Healthcare Solutions 2,4.55%,3.41%,6.06%,4
North Carolina,Cardinal Innovations Healthcare Solutions 3,4.55%,3.45%,5.99%,4
North Carolina,CenterPoint Human Services,4.40%,3.31%,5.84%,4
North Carolina,Eastpointe,4.42%,3.31%,5.88%,4
North Carolina,Partners Behavioral Health Management,5.06%,3.83%,6.66%,4
North Carolina,Sandhills Center 1,4.32%,3.20%,5.81%,4
North Carolina,Sandhills Center 2,4.70%,3.53%,6.24%,4
North Carolina,Smoky Mountain Center 1,4.43%,3.26%,6.00%,4
North Carolina,Smoky Mountain Center 2,4.86%,3.59%,6.56%,4
North Carolina,Trillium Healthcare Resources 1,4.66%,3.48%,6.21%,4
North Carolina,Trillium Healthcare Resources 2,4.99%,3.78%,6.56%,4
North Dakota,North Dakota,3.69%,3.05%,4.48%,3
North Dakota,Badlands and West Central,3.54%,2.68%,4.65%,4
North Dakota,Lake Region,3.00%,2.21%,4.07%,4
North Dakota,North Central,3.80%,2.86%,5.03%,4
North Dakota,Northeast,4.21%,3.25%,5.43%,4
North Dakota,Northwest,3.66%,2.70%,4.93%,4
North Dakota,South Central,3.51%,2.59%,4.75%,4
North Dakota,Southeast,3.76%,2.92%,4.82%,4
Ohio,Ohio,4.98%,4.46%,5.55%,3
Ohio,"Boards 2, 46, 55, and 68",4.87%,3.80%,6.22%,4
Ohio,"Boards 3, 52, and 85",4.98%,3.91%,6.31%,4
Ohio,Boards 4 and 78,5.27%,4.07%,6.80%,4
Ohio,Boards 5 and 60,5.80%,4.57%,7.33%,4
Ohio,"Boards 7, 15, 41, 79, and 84",4.98%,3.93%,6.29%,4
Ohio,"Boards 8, 13, and 83",4.73%,3.71%,6.00%,4
Ohio,Board 9 (Butler),5.15%,4.03%,6.58%,4
Ohio,Board 12,5.07%,3.98%,6.44%,4
Ohio,Boards 18 and 47,4.60%,3.76%,5.62%,4
Ohio,"Boards 20, 32, 54, and 69",4.39%,3.41%,5.65%,4
Ohio,"Boards 21, 39, 51, 70, and 80",4.93%,3.90%,6.21%,4
Ohio,"Boards 22, 74, and 87",4.76%,3.75%,6.04%,4
Ohio,Boards 23 and 45,4.62%,3.63%,5.86%,4
Ohio,Board 25 (Franklin),5.58%,4.54%,6.85%,4
Ohio,"Boards 27, 71, and 73",5.41%,4.23%,6.90%,4
Ohio,"Boards 28, 43, and 67",5.02%,3.96%,6.36%,4
Ohio,Board 31 (Hamilton),4.76%,3.80%,5.95%,4
Ohio,Board 48 (Lucas),5.15%,4.05%,6.53%,4
Ohio,Boards 50 and 76,4.83%,3.81%,6.10%,4
Ohio,Board 57 (Montgomery),5.10%,4.03%,6.43%,4
Ohio,Board 77 (Summit),4.82%,3.79%,6.10%,4
Oklahoma,Oklahoma,5.31%,4.43%,6.35%,3
Oklahoma,Central,5.65%,4.32%,7.35%,4
Oklahoma,East Central,4.88%,3.69%,6.42%,4
Oklahoma,Northeast,4.96%,3.78%,6.49%,4
Oklahoma,Northwest and Southwest,5.76%,4.40%,7.50%,4
Oklahoma,Oklahoma County,5.18%,4.02%,6.65%,4
Oklahoma,Southeast,5.11%,3.91%,6.67%,4
Oklahoma,Tulsa County,5.55%,4.28%,7.16%,4
Oregon,Oregon,5.10%,4.26%,6.10%,3
Oregon,Region 1 (Multnomah),5.53%,4.25%,7.17%,4
Oregon,Region 2,4.83%,3.75%,6.22%,4
Oregon,Region 3,5.18%,4.10%,6.54%,4
Oregon,Region 4,5.01%,3.81%,6.57%,4
Oregon,Region 5 (Central),4.90%,3.69%,6.47%,4
Oregon,Region 6 (Eastern),4.76%,3.54%,6.37%,4
Pennsylvania,Pennsylvania,3.87%,3.46%,4.33%,3
Pennsylvania,Region 1 (Allegheny),4.21%,3.38%,5.23%,4
Pennsylvania,"Regions 3, 8, 9, and 51",4.08%,3.24%,5.12%,4
Pennsylvania,"Regions 4, 11, 37, and 49",3.77%,3.02%,4.71%,4
Pennsylvania,"Regions 5, 18, 23, 24, and 46",3.42%,2.71%,4.31%,4
Pennsylvania,"Regions 6, 12, 16, 31, 35, 45, and 47",3.91%,3.11%,4.91%,4
Pennsylvania,"Regions 7, 13, 20, and 33",3.66%,3.02%,4.44%,4
Pennsylvania,"Regions 10, 15, 27, 32, 43, and 44",3.47%,2.71%,4.44%,4
Pennsylvania,Regions 17 and 21,4.01%,3.19%,5.04%,4
Pennsylvania,"Regions 19, 26, 28, and 42",3.61%,2.91%,4.47%,4
Pennsylvania,"Regions 22, 38, 40, 41, and 48",3.46%,2.73%,4.36%,4
Pennsylvania,Regions 29 and 34,4.06%,3.21%,5.12%,4
Pennsylvania,Regions 30 and 50,3.96%,3.13%,5.00%,4
Pennsylvania,Region 36 (Philadelphia),4.57%,3.72%,5.61%,4
Rhode Island,Rhode Island,4.57%,3.78%,5.52%,3
Rhode Island,Bristol and Newport,4.34%,3.26%,5.76%,4
Rhode Island,Kent,4.06%,3.06%,5.37%,4
Rhode Island,Providence,4.78%,3.84%,5.93%,4
Rhode Island,Washington,4.45%,3.37%,5.85%,4
South Carolina,South Carolina,4.35%,3.63%,5.19%,3
South Carolina,Region 1,4.31%,3.39%,5.46%,4
South Carolina,Region 2,4.46%,3.51%,5.64%,4
South Carolina,Region 3,4.19%,3.23%,5.43%,4
South Carolina,Region 4,4.40%,3.45%,5.59%,4
South Dakota,South Dakota,3.50%,2.88%,4.24%,3
South Dakota,Region 1,3.26%,2.50%,4.24%,4
South Dakota,Region 2,3.30%,2.46%,4.41%,4
South Dakota,Region 3,3.55%,2.73%,4.60%,4
South Dakota,Region 4,3.73%,2.86%,4.84%,4
South Dakota,Region 5,3.60%,2.78%,4.66%,4
Tennessee,Tennessee,4.18%,3.50%,4.99%,3
Tennessee,Region 1,4.19%,3.13%,5.59%,4
Tennessee,Region 2,4.23%,3.24%,5.49%,4
Tennessee,Region 3,3.97%,3.07%,5.11%,4
Tennessee,Region 4 (Davidson),4.38%,3.35%,5.71%,4
Tennessee,Region 5,4.26%,3.32%,5.45%,4
Tennessee,Region 6,4.01%,3.04%,5.28%,4
Tennessee,Region 7 (Shelby),4.19%,3.21%,5.47%,4
Texas,Texas,4.19%,3.77%,4.64%,3
Texas,Region 1,4.50%,3.61%,5.60%,4
Texas,Region 2,4.39%,3.44%,5.60%,4
Texas,Region 3,4.10%,3.53%,4.75%,4
Texas,Region 3a,4.05%,3.38%,4.85%,5
Texas,Region 3bc,4.19%,3.39%,5.16%,5
Texas,Region 4,4.07%,3.25%,5.09%,4
Texas,Region 5,4.17%,3.28%,5.29%,4
Texas,Region 6,3.92%,3.30%,4.65%,4
Texas,Region 6a,3.91%,3.24%,4.70%,5
Texas,Region 6bc,4.05%,3.17%,5.16%,5
Texas,Region 7,4.65%,3.90%,5.52%,4
Texas,Region 7a,4.70%,3.76%,5.86%,5
Texas,Region 7bcd,4.55%,3.65%,5.65%,5
Texas,Region 8,4.52%,3.66%,5.55%,4
Texas,Region 9,4.39%,3.46%,5.56%,4
Texas,Region 10,4.10%,3.24%,5.17%,4
Texas,Region 11,4.02%,3.33%,4.84%,4
Texas,Region 11abd,4.03%,3.20%,5.06%,5
Texas,Region 11c (Hidalgo),4.00%,3.16%,5.05%,5
Utah,Utah,4.06%,3.39%,4.85%,3
Utah,"Bear River, Northeastern, Summit, Tooele, and Wasatch",3.91%,2.97%,5.14%,4
Utah,"Central, Four Corners, San Juan, and Southwest",4.02%,3.06%,5.26%,4
Utah,Davis County,4.03%,3.09%,5.24%,4
Utah,Salt Lake County,3.88%,3.08%,4.89%,4
Utah,Utah County,4.38%,3.43%,5.59%,4
Utah,"Weber, Morgan",4.43%,3.32%,5.89%,4
Vermont,Vermont,3.49%,2.87%,4.23%,3
Vermont,Champlain Valley,3.66%,2.88%,4.63%,4
Vermont,Rural Northeast,3.39%,2.58%,4.43%,4
Vermont,Rural Southeast,3.32%,2.49%,4.42%,4
Vermont,Rural Southwest,3.41%,2.58%,4.50%,4
Virginia,Virginia,4.61%,3.88%,5.48%,3
Virginia,Region 1,5.08%,3.94%,6.53%,4
Virginia,Region 2,4.27%,3.30%,5.49%,4
Virginia,Region 3,4.47%,3.46%,5.76%,4
Virginia,Region 4,4.97%,3.82%,6.46%,4
Virginia,Region 5,4.56%,3.55%,5.84%,4
Washington,Washington,4.68%,3.93%,5.57%,3
Washington,Region 1,4.57%,3.65%,5.72%,4
Washington,Greater Columbia and North Central,4.50%,3.43%,5.87%,5
Washington,Spokane,4.68%,3.55%,6.14%,5
Washington,Region 2,4.75%,3.86%,5.84%,4
Washington,King,4.67%,3.64%,5.97%,5
Washington,North Sound,4.89%,3.75%,6.36%,5
Washington,Region 3,4.66%,3.81%,5.70%,4
Washington,Peninsula,4.65%,3.46%,6.24%,5
Washington,Pierce,4.76%,3.68%,6.12%,5
Washington,SW WA and Timberlands,4.60%,3.47%,6.07%,5
Washington,Thurston-Mason,4.57%,3.40%,6.10%,5
West Virginia,West Virginia,3.89%,3.24%,4.67%,3
West Virginia,Region I,3.70%,2.75%,4.95%,4
West Virginia,Region II,3.95%,3.00%,5.20%,4
West Virginia,Region III,3.82%,2.86%,5.08%,4
West Virginia,Region IV,4.26%,3.34%,5.42%,4
West Virginia,Region V,3.72%,2.90%,4.75%,4
West Virginia,Region VI,3.81%,2.91%,4.96%,4
Wisconsin,Wisconsin,4.38%,3.63%,5.27%,3
Wisconsin,Milwaukee,5.02%,3.80%,6.60%,4
Wisconsin,Northeastern,4.08%,3.11%,5.32%,4
Wisconsin,Northern,4.06%,2.99%,5.49%,4
Wisconsin,Southeastern,4.35%,3.29%,5.74%,4
Wisconsin,Southern,4.30%,3.28%,5.61%,4
Wisconsin,Western,4.44%,3.45%,5.69%,4
Wyoming,Wyoming,3.58%,2.93%,4.36%,3
Wyoming,Judicial District 1 (Laramie),3.33%,2.51%,4.39%,4
Wyoming,Judicial District 2,4.52%,3.44%,5.93%,4
Wyoming,Judicial District 3,3.38%,2.56%,4.47%,4
Wyoming,Judicial District 4,3.39%,2.48%,4.61%,4
Wyoming,Judicial District 5,3.26%,2.40%,4.42%,4
Wyoming,Judicial District 6,3.73%,2.80%,4.95%,4
Wyoming,Judicial District 7 (Natrona),3.87%,2.92%,5.12%,4
Wyoming,Judicial District 8,3.37%,2.50%,4.54%,4
Wyoming,Judicial District 9,3.42%,2.53%,4.61%,4
