,State,Substate Region,12-17 Estimate,18-25 Estimate,18 or Older Estimate,26 or Older Estimate
183,Maryland,Baltimore City,4.16%,7.97%,4.64%,3.96%
184,Maryland,Baltimore County,4.61%,9.29%,4.22%,3.39%
185,Maryland,Montgomery,3.72%,8.08%,3.70%,3.12%
186,Maryland,North Central,3.91%,8.63%,3.73%,3.02%
187,Maryland,Northeast,4.47%,9.48%,4.15%,3.37%
188,Maryland,Prince George's,4.01%,7.63%,3.96%,3.24%
189,Maryland,South,4.70%,8.34%,4.06%,3.30%
190,Maryland,West,4.44%,9.23%,4.09%,3.29%
191,Massachusetts,Massachusetts,3.73%,7.84%,3.47%,2.71%
192,Massachusetts,Boston,3.41%,7.54%,4.20%,3.26%
193,Massachusetts,Central,4.14%,8.76%,3.62%,2.76%
194,Massachusetts,Metrowest,3.34%,7.58%,3.25%,2.59%
195,Massachusetts,Northeast,3.76%,7.65%,3.25%,2.57%
196,Massachusetts,Southeast,3.90%,8.31%,3.35%,2.62%
197,Massachusetts,Western,3.91%,7.54%,3.52%,2.70%
198,Michigan,Michigan,5.09%,9.70%,4.28%,3.34%
199,Michigan,Region 1,4.79%,9.39%,3.89%,2.95%
200,Michigan,Region 2,5.27%,9.38%,3.53%,2.83%
201,Michigan,Region 3,5.25%,9.01%,4.24%,3.37%
202,Michigan,Region 4,5.14%,9.87%,4.33%,3.33%
203,Michigan,Region 5,4.59%,10.18%,4.75%,3.63%
204,Michigan,Region 6,5.07%,8.73%,4.03%,3.06%
205,Michigan,Region 7,4.93%,9.08%,4.30%,3.45%
206,Michigan,Region 8,5.10%,9.78%,3.95%,3.15%
207,Michigan,Region 9,5.22%,10.63%,4.32%,3.40%
208,Michigan,Region 10,6.10%,11.74%,4.61%,3.51%
209,Minnesota,Minnesota,3.59%,7.97%,3.39%,2.64%
210,Minnesota,Regions 1 and 2,3.60%,8.52%,3.46%,2.65%
211,Minnesota,Regions 3 and 4,3.76%,8.69%,3.47%,2.59%
212,Minnesota,Regions 5 and 6,3.56%,8.14%,3.42%,2.60%
213,Minnesota,Region 7A (Hennepin),3.40%,6.94%,3.17%,2.59%
214,Minnesota,Region 7B (Ramsey),3.58%,7.78%,3.70%,2.89%
215,Minnesota,Region 7C,3.66%,8.12%,3.34%,2.65%
216,Mississippi,Mississippi,6.04%,9.73%,4.61%,3.68%
217,Mississippi,Region 1,5.92%,11.10%,5.14%,4.06%
218,Mississippi,Region 2,6.59%,9.18%,4.52%,3.66%
219,Mississippi,Region 3,5.93%,9.22%,4.43%,3.43%
220,Mississippi,Region 4,6.25%,9.14%,4.28%,3.41%
221,Mississippi,Region 5,*,*,4.39%,3.60%
222,Mississippi,Region 6,5.78%,9.54%,4.64%,3.69%
223,Mississippi,Region 7,5.84%,9.69%,4.54%,3.68%
224,Missouri,Missouri,4.57%,9.92%,4.17%,3.20%
225,Missouri,Central,4.63%,10.25%,4.50%,3.26%
226,Missouri,Eastern,4.69%,9.43%,3.97%,3.09%
227,Missouri,Eastern (St. Louis City and County),4.78%,8.70%,3.83%,3.01%
228,Missouri,Eastern (excluding St. Louis),4.55%,10.80%,4.22%,3.23%
229,Missouri,Northwest,4.59%,9.52%,4.09%,3.21%
230,Missouri,Northwest (Jackson),4.83%,8.73%,3.93%,3.16%
231,Missouri,Northwest (excluding Jackson),4.40%,10.18%,4.23%,3.25%
232,Missouri,Southeast,4.32%,11.00%,4.32%,3.27%
233,Missouri,Southwest,4.40%,10.41%,4.31%,3.30%
234,Montana,Montana,4.31%,8.23%,3.38%,2.58%
235,Montana,Region 1,4.03%,7.85%,3.08%,2.41%
236,Montana,Region 2,4.03%,7.93%,3.40%,2.62%
237,Montana,Region 3,4.09%,7.94%,3.21%,2.51%
238,Montana,Region 4,4.18%,8.80%,3.59%,2.65%
239,Montana,Region 5,4.80%,8.11%,3.38%,2.60%
240,Nebraska,Nebraska,4.26%,7.92%,3.54%,2.76%
241,Nebraska,Regions 1 and 2,4.46%,8.46%,3.50%,2.75%
242,Nebraska,Region 1,4.55%,*,3.37%,2.64%
243,Nebraska,Region 2,*,*,3.61%,*
244,Nebraska,Region 3,4.04%,7.91%,3.40%,2.63%
245,Nebraska,Region 4,4.01%,8.02%,3.41%,2.68%
246,Nebraska,Region 5,4.59%,8.20%,3.64%,2.70%
247,Nebraska,Region 6,4.18%,7.58%,3.55%,2.86%
248,Nevada,Nevada,5.59%,9.95%,5.16%,4.40%
249,Nevada,Clark - Region 1,5.59%,9.98%,5.34%,4.60%
250,Nevada,Region 3,5.64%,10.07%,4.61%,3.87%
251,Nevada,Capital District,*,*,4.44%,3.72%
252,Nevada,Rural/Frontier,5.49%,10.03%,4.77%,4.01%
253,Nevada,Washoe - Region 2,5.54%,9.71%,4.76%,3.91%
254,New Hampshire,New Hampshire,4.90%,10.36%,4.26%,3.30%
255,New Hampshire,Central,4.91%,10.46%,4.40%,3.37%
256,New Hampshire,Central 1,4.72%,10.28%,4.55%,3.43%
257,New Hampshire,Central 2,5.07%,10.69%,4.25%,3.32%
258,New Hampshire,Northern,4.77%,9.66%,4.06%,3.15%
259,New Hampshire,Southern,4.91%,10.48%,4.24%,3.30%
260,New Hampshire,Southern 1 (Rockingham),5.12%,10.49%,3.91%,3.04%
261,New Hampshire,Southern 2,4.78%,10.47%,4.44%,3.47%
262,New Jersey,New Jersey,4.03%,9.12%,3.91%,3.12%
263,New Jersey,Central,4.41%,10.15%,4.02%,3.14%
264,New Jersey,Metropolitan,3.77%,7.89%,3.56%,2.85%
265,New Jersey,Northern,3.86%,8.99%,4.02%,3.30%
266,New Jersey,Southern,4.16%,9.76%,4.01%,3.11%
267,New Mexico,New Mexico,6.05%,8.57%,4.71%,4.04%
268,New Mexico,Region 1,5.59%,8.68%,4.30%,3.54%
269,New Mexico,Region 2,6.55%,7.81%,4.16%,3.68%
270,New Mexico,Region 3 (Bernalillo),5.98%,8.81%,4.97%,4.32%
271,New Mexico,Region 4,6.32%,8.65%,4.83%,4.10%
272,New Mexico,Region 5,6.16%,8.47%,5.01%,4.33%
273,New York,New York,3.76%,7.83%,3.88%,3.19%
274,New York,Region A,3.43%,6.84%,3.87%,3.35%
275,New York,Region 1,3.58%,6.32%,3.87%,3.35%
276,New York,Region 2,3.55%,7.03%,3.96%,3.43%
277,New York,Region 3,3.59%,7.20%,4.31%,3.83%
278,New York,Region 4,3.06%,6.68%,3.40%,2.90%
279,New York,Region B,3.73%,8.23%,3.72%,2.99%
280,New York,Region 5,3.54%,8.37%,3.75%,3.03%
281,New York,Region 6,3.64%,7.79%,3.51%,2.85%
282,New York,Region 7,4.54%,8.43%,3.91%,3.08%
283,New York,Region C,4.19%,8.77%,4.00%,3.11%
284,New York,Region 8,4.17%,8.75%,3.89%,3.04%
285,New York,Region 9,4.41%,8.11%,3.83%,3.01%
286,New York,Region 10,4.09%,9.29%,4.45%,3.28%
287,New York,Region 11,4.13%,8.90%,3.98%,3.06%
288,New York,Region 12,4.09%,8.97%,4.09%,3.24%
289,New York,Region D,4.16%,8.91%,4.09%,3.21%
290,New York,Region 13,4.33%,8.89%,3.82%,2.92%
291,New York,Region 14,4.00%,8.59%,4.13%,3.26%
292,New York,Region 15,4.16%,9.27%,4.31%,3.43%
293,North Carolina,North Carolina,5.12%,9.54%,4.51%,3.67%
294,North Carolina,Alliance Behavioral Healthcare 1,5.81%,8.98%,4.48%,3.62%
295,North Carolina,Alliance Behavioral Healthcare 2,4.44%,9.03%,4.10%,3.29%
296,North Carolina,Cardinal Innovations Healthcare Solutions 1,4.89%,9.47%,4.28%,3.52%
297,North Carolina,Cardinal Innovations Healthcare Solutions 2,5.22%,10.11%,4.49%,3.49%
298,North Carolina,Cardinal Innovations Healthcare Solutions 3,5.28%,9.01%,4.48%,3.74%
299,North Carolina,CenterPoint Human Services,5.17%,9.19%,4.32%,3.56%
300,North Carolina,Eastpointe,4.94%,8.49%,4.36%,3.70%
301,North Carolina,Partners Behavioral Health Management,5.19%,11.38%,5.05%,4.13%
302,North Carolina,Sandhills Center 1,*,*,4.25%,3.52%
303,North Carolina,Sandhills Center 2,5.62%,9.04%,4.61%,3.77%
304,North Carolina,Smoky Mountain Center 1,*,9.78%,4.39%,3.47%
305,North Carolina,Smoky Mountain Center 2,*,*,4.83%,4.05%
306,North Carolina,Trillium Healthcare Resources 1,5.25%,9.31%,4.60%,3.69%
307,North Carolina,Trillium Healthcare Resources 2,*,10.13%,4.98%,3.89%
308,North Dakota,North Dakota,4.13%,7.80%,3.65%,2.74%
309,North Dakota,Badlands and West Central,4.48%,8.23%,3.45%,2.65%
310,North Dakota,Lake Region,3.75%,6.91%,2.91%,2.29%
311,North Dakota,North Central,4.09%,8.08%,3.77%,2.82%
312,North Dakota,Northeast,3.98%,7.92%,4.23%,2.99%
313,North Dakota,Northwest,4.19%,*,3.61%,2.88%
314,North Dakota,South Central,3.93%,8.60%,3.47%,2.69%
315,North Dakota,Southeast,4.01%,7.28%,3.74%,2.77%
316,Ohio,Ohio,5.08%,9.67%,4.97%,4.19%
317,Ohio,"Boards 2, 46, 55, and 68",4.53%,9.52%,4.91%,4.18%
318,Ohio,"Boards 3, 52, and 85",5.09%,10.11%,4.96%,4.15%
319,Ohio,Boards 4 and 78,5.28%,10.56%,5.27%,4.54%
320,Ohio,Boards 5 and 60,5.38%,11.12%,5.84%,4.69%
321,Ohio,"Boards 7, 15, 41, 79, and 84",5.06%,10.27%,4.97%,4.24%
322,Ohio,"Boards 8, 13, and 83",4.63%,10.05%,4.74%,3.98%
323,Ohio,Board 9 (Butler),4.92%,9.94%,5.18%,4.27%
324,Ohio,Board 12,4.89%,9.97%,5.09%,4.17%
325,Ohio,Boards 18 and 47,5.33%,9.36%,4.53%,3.78%
326,Ohio,"Boards 20, 32, 54, and 69",4.92%,8.70%,4.33%,3.67%
327,Ohio,"Boards 21, 39, 51, 70, and 80",4.60%,9.54%,4.97%,4.32%
328,Ohio,"Boards 22, 74, and 87",5.24%,9.29%,4.72%,3.89%
329,Ohio,Boards 23 and 45,4.90%,9.69%,4.58%,3.75%
330,Ohio,Board 25 (Franklin),5.35%,9.79%,5.60%,4.79%
331,Ohio,"Boards 27, 71, and 73",4.97%,10.36%,5.46%,4.74%
332,Ohio,"Boards 28, 43, and 67",4.78%,10.08%,5.05%,4.20%
333,Ohio,Board 31 (Hamilton),4.87%,8.57%,4.75%,4.08%
334,Ohio,Board 48 (Lucas),5.04%,9.58%,5.17%,4.35%
335,Ohio,Boards 50 and 76,4.89%,9.57%,4.82%,4.11%
336,Ohio,Board 57 (Montgomery),5.87%,9.52%,5.02%,4.29%
337,Ohio,Board 77 (Summit),5.54%,9.39%,4.74%,4.02%
338,Oklahoma,Oklahoma,6.09%,11.04%,5.22%,4.18%
339,Oklahoma,Central,5.84%,11.91%,5.62%,4.37%
340,Oklahoma,East Central,5.53%,10.41%,4.80%,3.88%
341,Oklahoma,Northeast,5.97%,10.29%,4.85%,3.76%
342,Oklahoma,Northwest and Southwest,6.31%,11.53%,5.70%,4.62%
343,Oklahoma,Oklahoma County,6.56%,10.80%,5.04%,4.04%
344,Oklahoma,Southeast,5.86%,10.49%,5.03%,4.14%
345,Oklahoma,Tulsa County,6.26%,11.65%,5.47%,4.42%
346,Oregon,Oregon,5.80%,10.20%,5.04%,4.23%
347,Oregon,Region 1 (Multnomah),5.68%,9.82%,5.52%,4.88%
348,Oregon,Region 2,5.45%,10.02%,4.77%,4.00%
349,Oregon,Region 3,5.85%,10.13%,5.12%,4.18%
350,Oregon,Region 4,6.18%,11.47%,4.91%,4.03%
351,Oregon,Region 5 (Central),6.73%,10.53%,4.71%,3.95%
352,Oregon,Region 6 (Eastern),5.72%,9.56%,4.66%,3.90%
353,Pennsylvania,Pennsylvania,4.48%,8.86%,3.81%,2.98%
354,Pennsylvania,Region 1 (Allegheny),4.56%,9.56%,4.18%,3.35%
355,Pennsylvania,"Regions 3, 8, 9, and 51",4.82%,10.19%,4.01%,3.00%
356,Pennsylvania,"Regions 4, 11, 37, and 49",4.77%,9.09%,3.67%,2.83%
357,Pennsylvania,"Regions 5, 18, 23, 24, and 46",4.51%,8.02%,3.31%,2.60%
358,Pennsylvania,"Regions 6, 12, 16, 31, 35, 45, and 47",4.30%,8.59%,3.88%,2.77%
359,Pennsylvania,"Regions 7, 13, 20, and 33",4.12%,8.72%,3.61%,2.85%
360,Pennsylvania,"Regions 10, 15, 27, 32, 43, and 44",4.55%,8.71%,3.37%,2.64%
361,Pennsylvania,Regions 17 and 21,4.50%,9.05%,3.96%,3.03%
362,Pennsylvania,"Regions 19, 26, 28, and 42",4.51%,8.14%,3.51%,2.81%
363,Pennsylvania,"Regions 22, 38, 40, 41, and 48",4.30%,9.13%,3.38%,2.63%
364,Pennsylvania,Regions 29 and 34,4.67%,9.66%,4.00%,3.10%
365,Pennsylvania,Regions 30 and 50,4.32%,9.15%,3.93%,3.15%
366,Pennsylvania,Region 36 (Philadelphia),4.84%,8.52%,4.55%,3.65%
367,Rhode Island,Rhode Island,4.53%,9.37%,4.57%,3.66%
368,Rhode Island,Bristol and Newport,4.46%,9.49%,4.33%,3.43%
369,Rhode Island,Kent,4.59%,9.10%,4.01%,3.35%
370,Rhode Island,Providence,4.50%,9.34%,4.81%,3.87%
371,Rhode Island,Washington,4.70%,9.66%,4.42%,3.31%
372,South Carolina,South Carolina,6.10%,9.36%,4.17%,3.29%
373,South Carolina,Region 1,6.40%,9.23%,4.09%,3.23%
374,South Carolina,Region 2,6.12%,9.21%,4.28%,3.38%
375,South Carolina,Region 3,5.75%,9.18%,4.04%,3.25%
376,South Carolina,Region 4,5.95%,9.77%,4.25%,3.31%
377,South Dakota,South Dakota,4.21%,8.06%,3.42%,2.61%
378,South Dakota,Region 1,3.90%,7.79%,3.19%,2.42%
379,South Dakota,Region 2,3.97%,8.06%,3.22%,2.50%
380,South Dakota,Region 3,4.30%,7.92%,3.48%,2.58%
381,South Dakota,Region 4,4.15%,8.75%,3.68%,2.72%
382,South Dakota,Region 5,4.50%,8.06%,3.51%,2.76%
383,Tennessee,Tennessee,4.84%,9.26%,4.11%,3.27%
384,Tennessee,Region 1,4.96%,10.02%,4.12%,3.28%
385,Tennessee,Region 2,4.66%,9.51%,4.18%,3.37%
386,Tennessee,Region 3,4.73%,9.45%,3.90%,3.02%
387,Tennessee,Region 4 (Davidson),4.92%,8.78%,4.34%,3.51%
388,Tennessee,Region 5,5.01%,9.59%,4.17%,3.28%
389,Tennessee,Region 6,4.65%,9.21%,3.94%,3.08%
390,Tennessee,Region 7 (Shelby),4.86%,8.35%,4.11%,3.31%
391,Texas,Texas,5.01%,8.55%,4.09%,3.25%
392,Texas,Region 1,5.08%,9.42%,4.43%,3.36%
393,Texas,Region 2,5.10%,9.39%,4.32%,3.36%
394,Texas,Region 3,4.78%,8.77%,4.02%,3.19%
395,Texas,Region 3a,5.08%,8.62%,3.92%,3.11%
396,Texas,Region 3bc,4.24%,9.04%,4.18%,3.34%
397,Texas,Region 4,5.67%,9.30%,3.90%,3.03%
398,Texas,Region 5,5.78%,8.57%,4.00%,3.20%
399,Texas,Region 6,5.08%,7.83%,3.78%,3.05%
400,Texas,Region 6a,5.03%,7.73%,3.77%,3.04%
401,Texas,Region 6bc,5.46%,8.78%,3.88%,3.11%
402,Texas,Region 7,4.76%,9.76%,4.63%,3.51%
403,Texas,Region 7a,4.60%,10.28%,4.71%,3.64%
404,Texas,Region 7bcd,5.04%,9.06%,4.50%,3.27%
